act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-3,0,1,6,6,6
-3,0,1,37,37,37
-3,0,1,20,20,20
-3,0,1,-12,-12,-12
-3,0,1,-94,-94,-94
-2,0,1,35,35,35
-3,0,2,-4,-4,-4
-3,0,1,-47,-47,-47
-3,0,1,20,20,20
-3,0,1,62,62,62
-3,0,1,27,27,27
-3,0,1,-4,-4,-4
-3,0,1,-50,-50,-50
-3,0,1,-23,-23,-23
-3,0,1,-11,-11,-11
-3,0,1,-4,-4,-4
-4,0,1,-18,-18,-18
-3,0,1,152,152,152
-3,0,1,53,53,53
-3,0,1,53,53,53
-3,0,1,42,42,42
-3,0,1,-19,-19,-19
-3,0,1,11,11,11
-3,0,1,57,57,57
-3,0,1,14,14,14
-3,0,1,62,62,62
-3,0,1,21,21,21
-3,0,1,-54,-54,-54
-3,0,1,-11,-11,-11
-3,0,1,-34,-34,-34
-3,0,1,16,16,16
-3,0,1,-33,-33,-33
-3,0,1,68,68,68
-3,0,1,69,69,69
-3,0,1,-36,-36,-36
-3,0,1,2,2,2
-3,0,1,54,54,54
-3,0,1,52,52,52
-3,0,1,13,13,13
-3,0,1,21,21,21
-3,0,1,53,53,53
-3,0,1,14,14,14
-3,0,2,-102,-102,-102
-3,0,1,-37,-37,-37
-3,0,1,62,62,62
-3,0,1,-28,-28,-28
-3,0,1,4,4,4
-3,0,1,62,62,62
-3,0,1,49,49,49
-3,0,2,50,50,50
-3,0,1,83,83,83
-3,0,1,-35,-35,-35
-3,0,1,11,11,11
-3,0,1,85,85,85
-3,0,1,20,20,20
-3,0,1,-24,-24,-24
-3,0,1,-5,-5,-5
-3,0,1,15,15,15
-3,0,1,9,9,9
-3,0,1,-40,-40,-40
-3,0,1,59,59,59
-3,0,1,-2,-2,-2
-3,0,1,-49,-49,-49
-3,0,1,92,92,92
-3,0,1,-4,-4,-4
-3,0,1,-75,-75,-75
-2,0,1,32,32,32
-3,0,1,-41,-41,-41
-3,0,1,41,41,41
-3,0,1,26,26,26
-3,0,1,23,23,23
-3,0,2,-23,-23,-23
-3,0,1,53,53,53
-3,0,1,-26,-26,-26
-3,0,1,-9,-9,-9
-3,0,1,46,46,46
-3,0,1,131,131,131
-3,0,1,13,13,13
-3,0,1,-20,-20,-20
-3,0,1,-11,-11,-11
-3,0,1,-27,-27,-27
-3,0,1,-3,-3,-3
-3,0,1,99,99,99
-3,0,1,-29,-29,-29
-3,0,1,82,82,82
-3,0,1,24,24,24
-3,0,1,9,9,9
-3,0,1,41,41,41
-3,0,1,4,4,4
-3,0,1,4,4,4
-4,0,1,13,13,13
-3,0,1,-33,-33,-33
-3,0,1,-97,-97,-97
-3,0,1,-39,-39,-39
-3,0,1,14,14,14
-3,0,1,-101,-101,-101
-3,0,1,17,17,17
-3,0,1,-39,-39,-39
-3,0,1,99,99,99
-3,0,1,-140,-140,-140
-3,0,1,-40,-40,-40
-3,0,1,29,29,29
-3,0,1,34,34,34
-3,0,1,-8,-8,-8
-3,0,1,28,28,28
-3,0,1,-48,-48,-48
-3,0,1,-23,-23,-23
-3,0,1,-21,-21,-21
-3,0,1,20,20,20
-3,0,1,34,34,34
-3,0,1,-71,-71,-71
-3,0,1,39,39,39
-3,0,1,31,31,31
-3,0,1,78,78,78
-3,0,1,-8,-8,-8
-3,0,1,-26,-26,-26
-3,0,1,29,29,29
-3,0,1,-73,-73,-73
-3,0,1,27,27,27
-3,0,1,-21,-21,-21
-3,0,1,-6,-6,-6
-3,0,1,-14,-14,-14
-3,0,1,-56,-56,-56
-2,0,1,86,86,86
-3,0,1,0,0,0
-3,0,1,37,37,37
-3,0,1,2,2,2
-3,0,1,19,19,19
-3,0,1,-5,-5,-5
-3,0,2,-8,-8,-8
-3,0,1,-23,-23,-23
-3,0,1,-39,-39,-39
-3,0,1,21,21,21
-3,0,1,40,40,40
-3,0,1,11,11,11
-3,0,1,-68,-68,-68
-3,0,1,75,75,75
-3,0,2,8,8,8
-3,0,2,82,82,82
-3,0,1,64,64,64
-3,0,1,40,40,40
-3,0,2,4,4,4
-3,0,1,-68,-68,-68
-3,0,1,69,69,69
-3,0,1,12,12,12
-2,0,1,53,53,53
-3,0,1,-50,-50,-50
-3,0,1,3,3,3
-3,0,1,-16,-16,-16
-3,0,0,33,33,33
-3,0,1,-29,-29,-29
-3,0,1,34,34,34
-3,0,1,14,14,14
-3,0,1,-17,-17,-17
-3,0,1,55,55,55
-3,0,1,-33,-33,-33
-3,0,1,-14,-14,-14
-3,0,1,-3,-3,-3
-3,0,1,39,39,39
-3,0,1,2,2,2
-3,0,1,36,36,36
-3,0,1,-14,-14,-14
-3,0,1,0,0,0
-3,0,1,47,47,47
-3,0,1,95,95,95
-3,0,1,19,19,19
-3,0,1,30,30,30
-3,0,1,16,16,16
-3,0,1,8,8,8
-3,0,1,-110,-110,-110
-3,0,1,39,39,39
-2,0,1,-9,-9,-9
-3,0,1,22,22,22
-3,0,1,17,17,17
-3,0,1,53,53,53
-3,0,1,21,21,21
-3,0,1,166,166,166
-2,0,1,62,62,62
-3,0,1,-36,-36,-36
-3,0,1,12,12,12
-3,0,1,18,18,18
-3,0,1,16,16,16
-3,0,1,3,3,3
-3,0,1,-26,-26,-26
-3,0,2,-7,-7,-7
-3,0,1,-12,-12,-12
-3,0,1,82,82,82
-3,0,1,70,70,70
-3,0,1,-8,-8,-8
-3,0,2,-25,-25,-25
-3,0,2,-35,-35,-35
-3,0,1,2,2,2
-4,0,1,-47,-47,-47
-4,0,1,-32,-32,-32
-3,0,1,-52,-52,-52
-3,0,1,-9,-9,-9
-3,0,1,64,64,64
-3,0,1,51,51,51
-2,0,1,66,66,66
-3,0,0,-27,-27,-27
-3,0,1,2,2,2
-3,0,1,147,147,147
-4,0,1,62,62,62
-3,0,1,0,0,0
-3,0,1,-37,-37,-37
-3,0,1,52,52,52
-3,0,1,-52,-52,-52
-3,0,1,29,29,29
-3,0,1,-51,-51,-51
-3,0,1,4,4,4
-3,0,1,51,51,51
-3,0,1,-33,-33,-33
-3,0,1,-7,-7,-7
-3,0,1,-32,-32,-32
-3,0,1,-25,-25,-25
-3,0,1,57,57,57
-3,0,1,-14,-14,-14
-3,0,1,-36,-36,-36
-3,0,1,73,73,73
-2,0,1,0,0,0
-3,0,1,7,7,7
-3,0,1,16,16,16
-3,0,1,2,2,2
-3,0,1,-20,-20,-20
-3,0,1,83,83,83
-3,0,1,-1,-1,-1
-3,0,1,0,0,0
-3,0,1,30,30,30
-3,0,1,-59,-59,-59
-3,0,1,61,61,61
-3,0,1,78,78,78
-3,0,1,-29,-29,-29
-3,0,1,-12,-12,-12
-3,0,1,62,62,62
-3,0,1,-90,-90,-90
-3,0,1,61,61,61
